Region,Province,TypeOfWork,FundingYear,ApprovedBudgetForContract,ContractCost,ActualCompletionDate,StartDate,Contractor,ContractId,ProjectId,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2021,96500000,92692943.8,10/3/2022,3/18/2021,ASC CONSTRUCTION & CONCRETE PRODUCTS,21PC0018,P00526268LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2021,49000000,47521251.3,11/24/2022,12/1/2021,ASC CONSTRUCTION & CONCRETE PRODUCTS,21PC0019,P00526368LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2021,47423180,45942583.67,11/28/2022,12/1/2021,ASC CONSTRUCTION & CONCRETE PRODUCTS,21PC0010,P00526369LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2021,9900000,9900000,12/15/2022,12/1/2021,ASC CONSTRUCTION & CONCRETE PRODUCTS,21PC0067,P00561270LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2021,4950000,4950000,9/23/2022,12/1/2021,ALEPHNORTH PEAK CONSTRUCTION AND DEVELOPMENT CO.,21PC0034,P00561652LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2021,39199819.73,38292917.46,9/24/2022,12/2/2021,ASC CONSTRUCTION & CONCRETE PRODUCTS,21PB0004,P00526367LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2021,82914680,80309010.27,4/14/2023,12/22/2021,ASC CONSTRUCTION & CONCRETE PRODUCTS,21PB0013,P00526270LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,23519997.48,22928490.31,11/2/2022,2/9/2022,PRIME MASTER CONST. AND DEV'T. CORP.,22PB0005,P00620988LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,15678924.68,15680000,12/22/2022,3/1/2022,BAHRAMLEY CONSTRUCTION,22PB0004,P00620472LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,51761907.66,51762600,5/30/2023,4/4/2022,ASC CONSTRUCTION & CONCRETE PRODUCTS,22PB0010,P00620136LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Revetment,2023,72375000,72375000,12/14/2023,2/12/2023,ASC CONSTRUCTION & CONCRETE PRODUCTS,23PB0009,P00726398LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Revetment,2023,24500000,24500000,6/22/2023,2/12/2023,GKA ENGINEERING AND CONSTRUCTION,23PB0001,P00726655LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,115793907.8,115800000,2/29/2024,4/12/2023,JOMARCANN GENERAL CONSTRUCTION / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,23P00020,P00740313LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,49000000,49000000,12/12/2022,2/9/2022,ASC CONSTRUCTION & CONCRETE PRODUCTS,22PC0034,P00620989LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,6930000,6827260.01,9/15/2023,3/25/2022,E.C.V. CONSTRUCTION,22PC0063,P00640502LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2022,49000000,47169843.01,11/15/2023,8/9/2022,ASC CONSTRUCTION & CONCRETE PRODUCTS,22PC0068,P00620990LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,96500000,96500000,2/7/2024,3/23/2023,TAGEL CORPORATION,23PC0038,P00735962LZ,,,,,,,,,,,,,
XIV,Apayao,Construction of Flood Mitigation Structure,2023,96500000,96500000,3/11/2024,4/5/2023,TAGEL CORPORATION / E.C.V. CONSTRUCTION,23PC0046,P00735961LZ,,,,,,,,,,,,,
